x,y,cluster
-4.965738,-6.473893,91.000000
-4.280924,-6.032518,41.000000
-4.788115,-6.000761,50.000000
-3.881282,-6.063329,21.000000
-3.838826,-6.045068,1.000000
-2.615531,-5.130096,18.000000
-2.606493,-5.147550,18.000000
-5.639217,-6.952987,95.000000
-4.002486,-5.715424,12.000000
-4.909957,-6.515604,28.000000
-3.943187,-6.243921,82.000000
-4.169386,-5.808027,6.000000
-5.806899,-6.855955,72.000000
-4.989682,-6.182888,77.000000
-4.554213,-5.568997,48.000000
-3.624040,-5.275258,54.000000
-4.341146,-5.909914,13.000000
-4.757771,-5.985251,50.000000
-3.763929,-6.048687,1.000000
-4.360624,-5.760206,39.000000
-3.917830,-5.954163,52.000000
-4.008225,-5.927793,55.000000
-3.418343,-5.185858,25.000000
-4.219571,-5.398827,96.000000
-4.070106,-5.845296,6.000000
-5.443863,-6.469073,24.000000
-4.551863,-5.600203,48.000000
-5.783198,-6.773046,23.000000
-5.625536,-6.934905,46.000000
-4.506548,-5.961064,13.000000
-5.964383,-6.832638,72.000000
-5.677827,-6.916400,95.000000
-3.941255,-6.120902,1.000000
-3.881982,-6.020094,1.000000
-5.966775,-6.794753,45.000000
-3.674246,-5.358833,74.000000
-4.781881,-5.437791,70.000000
-4.661009,-5.708442,22.000000
-3.761542,-5.444477,74.000000
-5.337129,-6.947690,34.000000
-3.287593,-5.174299,25.000000
-3.827097,-5.971504,1.000000
-5.273658,-6.929471,9.000000
-4.679722,-5.726919,22.000000
-4.164973,-5.541519,75.000000
-3.696682,-5.308444,74.000000
-4.090580,-5.797277,6.000000
-5.699431,-6.816677,27.000000
-4.260625,-5.674301,56.000000
-5.499310,-6.714393,15.000000
-4.360863,-5.848398,13.000000
-4.127326,-6.094554,49.000000
-5.795115,-6.874968,23.000000
-4.378860,-5.384672,16.000000
-5.706342,-6.764763,71.000000
-5.560124,-6.437452,24.000000
-3.761225,-6.161494,1.000000
-4.937667,-6.725235,19.000000
-3.763362,-6.121932,1.000000
-4.240885,-5.874844,36.000000
-4.238855,-5.657169,56.000000
-4.018180,-6.091977,21.000000
-5.646271,-6.937958,95.000000
-4.042178,-6.118816,21.000000
-3.919290,-5.997538,53.000000
-3.737745,-5.989882,84.000000
-4.979988,-6.496163,28.000000
-5.512476,-7.154583,57.000000
-4.856394,-6.256084,4.000000
-5.699056,-6.891597,23.000000
-3.870269,-6.094781,21.000000
-3.816437,-6.048418,52.000000
-5.628603,-6.036964,32.000000
-3.923008,-6.141580,1.000000
-5.407145,-6.509590,94.000000
-5.600408,-5.814134,59.000000
-3.933528,-6.116521,1.000000
-4.283940,-5.477272,96.000000
-5.635917,-6.358216,32.000000
-4.802842,-6.512280,30.000000
-5.628161,-6.933184,46.000000
-5.037518,-6.286105,37.000000
-4.409644,-5.789611,13.000000
-4.352386,-6.237047,0.000000
-4.364629,-5.733682,73.000000
-5.374739,-6.388991,35.000000
-4.596928,-5.273262,3.000000
-4.226963,-5.601252,88.000000
-4.148651,-5.436781,38.000000
-4.406179,-5.398040,16.000000
-2.892878,-5.134542,65.000000
-5.859817,-6.756604,45.000000
-5.530758,-6.583642,35.000000
-5.839430,-6.787750,72.000000
-3.936046,-6.025103,1.000000
-5.794953,-6.857102,23.000000
-4.756678,-6.521821,30.000000
-5.702271,-6.061933,40.000000
-4.870392,-6.679484,19.000000
-3.883636,-6.023065,1.000000
-4.982483,-6.545502,66.000000
-4.541333,-5.813507,56.000000
-3.777341,-6.148630,1.000000
-5.472669,-6.995717,95.000000
-4.701857,-5.773899,22.000000
-5.832054,-6.711906,45.000000
-4.578658,-5.748240,17.000000
-5.745601,-6.811057,23.000000
-5.873803,-6.766601,72.000000
-4.189000,-5.401175,96.000000
-3.828749,-6.056047,1.000000
-4.123413,-5.400197,69.000000
-5.766827,-5.958214,40.000000
-4.643955,-5.684174,48.000000
-4.172314,-5.399228,96.000000
-5.573429,-5.765470,59.000000
-5.599314,-5.801470,59.000000
-5.407285,-6.959391,5.000000
-4.977683,-6.499665,91.000000
-3.867128,-6.004829,21.000000
-4.132787,-5.551973,75.000000
-4.685539,-5.885483,56.000000
-4.462193,-5.688568,48.000000
-3.913533,-6.094530,21.000000
-3.260092,-5.201515,25.000000
-5.792513,-6.864119,23.000000
-3.934182,-6.129486,21.000000
-5.359611,-6.465213,94.000000
-4.648242,-5.721226,22.000000
-4.737208,-5.410082,17.000000
-4.817743,-5.445998,70.000000
-3.825101,-6.139576,1.000000
-5.773455,-7.058294,98.000000
