x,y,cluster
-2.593192,2.635071,0.000000
4.845418,8.989268,-1.000000
3.329824,5.640180,-1.000000
-2.504788,2.680259,0.000000
5.392497,10.395932,1.000000
-2.405242,2.805865,0.000000
3.883119,8.472123,2.000000
1.290743,5.183266,3.000000
-2.120864,2.953482,-1.000000
4.132550,7.162479,4.000000
-1.434305,3.788236,-1.000000
4.792473,9.454340,13.000000
-1.943455,2.970134,5.000000
4.242548,8.522205,-1.000000
4.246887,8.650046,-1.000000
4.251549,8.308048,-1.000000
4.166437,8.480091,-1.000000
3.712973,8.159827,2.000000
-1.286648,3.618646,-1.000000
4.090381,8.349137,2.000000
2.638743,6.747651,6.000000
-2.271810,3.082594,14.000000
4.399947,5.724778,7.000000
4.960326,9.153358,-1.000000
5.204818,8.674014,8.000000
3.358121,5.572385,-1.000000
4.489770,9.102304,-1.000000
2.012568,5.046369,-1.000000
0.908996,4.751117,-1.000000
4.452786,5.777203,7.000000
4.023922,7.004304,4.000000
5.530739,10.227607,1.000000
-1.654382,3.904598,11.000000
-2.529479,2.690253,0.000000
-2.089751,3.100574,-1.000000
4.094006,6.996332,4.000000
3.984087,8.685822,2.000000
2.813195,5.477102,9.000000
3.046189,7.116710,-1.000000
3.604666,5.683335,-1.000000
-2.078785,2.938735,5.000000
5.078686,9.554118,13.000000
4.272697,7.700021,-1.000000
4.486279,9.099297,-1.000000
2.781428,6.706642,6.000000
4.999257,8.846194,-1.000000
-2.536242,3.181032,12.000000
-2.292453,2.962811,-1.000000
-1.889457,3.018753,5.000000
-1.882390,3.422929,-1.000000
3.909044,7.288225,4.000000
0.084012,5.078647,10.000000
-2.888674,2.621670,0.000000
-1.407583,4.109041,11.000000
-2.652757,3.170181,12.000000
-1.055681,4.046316,11.000000
-1.029906,4.076860,11.000000
4.819520,8.826358,-1.000000
2.712649,5.323253,9.000000
5.468011,9.660806,13.000000
-2.326395,3.514834,12.000000
4.243179,7.777689,-1.000000
2.555010,6.779137,6.000000
4.153637,7.731624,-1.000000
5.526089,10.280635,1.000000
4.605978,6.398540,-1.000000
4.296611,8.700624,-1.000000
4.995306,9.602332,-1.000000
-2.624663,3.351078,12.000000
0.175534,5.024759,10.000000
4.147370,5.780025,7.000000
5.185108,8.611386,8.000000
1.882055,5.156034,-1.000000
4.446435,5.740861,7.000000
5.520358,10.335651,1.000000
2.893634,5.549170,9.000000
-1.602444,3.385520,-1.000000
-2.687369,2.632439,0.000000
4.295093,5.745855,7.000000
-2.788723,2.837210,-1.000000
1.793638,5.205705,3.000000
4.452702,8.902626,-1.000000
5.084820,9.570919,13.000000
-1.340617,3.626729,-1.000000
4.449210,5.827992,7.000000
-0.863536,4.305018,11.000000
4.217749,7.837129,-1.000000
4.732638,8.807592,-1.000000
3.993720,6.970518,4.000000
1.572074,5.130838,3.000000
0.011382,5.145492,10.000000
2.794290,5.326081,-1.000000
2.696937,6.234613,-1.000000
4.080581,6.870073,-1.000000
-2.562026,3.397775,12.000000
4.414402,8.744837,-1.000000
2.680591,6.763342,6.000000
3.210339,6.844005,-1.000000
4.604602,6.726336,-1.000000
-1.353756,4.087622,11.000000
3.901729,6.819445,-1.000000
-2.241489,3.114304,14.000000
-0.438924,3.969792,-1.000000
-0.919746,4.562226,-1.000000
3.053065,7.233064,-1.000000
1.413845,5.234825,3.000000
-2.595417,2.633966,0.000000
3.558460,6.428738,-1.000000
5.478532,10.290061,1.000000
2.564366,5.471719,-1.000000
3.135528,6.293987,-1.000000
2.048583,5.039258,-1.000000
4.708785,8.754415,-1.000000
-2.656090,3.196117,12.000000
3.168510,6.769969,-1.000000
0.633999,5.011679,-1.000000
-1.351553,3.604116,-1.000000
4.347954,8.265592,-1.000000
0.648369,4.881250,-1.000000
5.249047,8.787178,8.000000
-2.151305,3.485996,-1.000000
1.510269,5.165128,3.000000
-2.469398,2.881822,14.000000
-1.344685,3.577289,-1.000000
-0.949790,3.881408,-1.000000
-1.329721,4.304044,11.000000
2.917859,5.432119,-1.000000
3.644773,7.880584,2.000000
-2.358981,2.947170,14.000000
4.714238,9.364411,-1.000000
0.195427,5.090934,10.000000
0.389036,5.974609,-1.000000
2.990594,6.962427,-1.000000
5.149253,8.543409,8.000000
-2.589996,3.274615,12.000000
4.842039,9.654790,13.000000
4.726488,8.347903,-1.000000
5.819478,9.258186,-1.000000
-2.051300,2.972062,-1.000000
3.861232,8.309352,2.000000
-0.102294,5.151092,10.000000
0.184859,5.650680,-1.000000
4.248065,8.021585,-1.000000
3.900984,7.773276,2.000000
4.235183,7.862715,-1.000000
5.585321,10.424365,1.000000
3.898078,7.043773,4.000000
4.617320,6.715175,-1.000000
3.956635,6.620801,17.000000
5.237852,9.403183,13.000000
-1.559567,3.928000,11.000000
-2.187181,3.074569,-1.000000
3.948685,8.390009,2.000000
3.368941,7.225153,-1.000000
-0.099893,5.136637,10.000000
-1.560436,3.794837,-1.000000
1.461679,5.254622,3.000000
-2.106735,3.368330,-1.000000
-1.892728,3.843278,-1.000000
-0.828034,4.195909,11.000000
-2.710962,2.734438,0.000000
5.453049,9.899910,13.000000
5.297150,8.852719,8.000000
0.038519,5.015107,10.000000
-1.224780,3.774801,-1.000000
5.492341,10.324796,1.000000
-1.152571,3.518417,-1.000000
4.062852,8.281741,2.000000
-1.128744,4.163662,11.000000
-0.132519,5.079588,10.000000
-1.542795,3.347678,-1.000000
-1.336396,4.125589,11.000000
4.660275,8.284468,-1.000000
2.800513,5.952679,-1.000000
4.125303,7.095682,4.000000
5.140573,8.629032,8.000000
-1.805847,3.085538,5.000000
4.746604,9.151292,-1.000000
2.606297,6.577291,6.000000
4.444036,5.754195,7.000000
3.393342,7.111729,-1.000000
4.815413,9.558642,13.000000
-2.598186,2.797002,0.000000
0.427953,5.702214,-1.000000
-2.562534,3.415788,12.000000
4.777984,9.664139,13.000000
2.640228,7.118486,6.000000
2.876593,6.407768,-1.000000
-2.405289,2.794892,14.000000
-1.883083,3.011461,5.000000
4.184156,7.394219,-1.000000
3.547126,6.358610,-1.000000
-2.407947,2.910362,14.000000
-0.059625,5.114860,10.000000
4.637224,6.708456,-1.000000
4.582158,6.755409,-1.000000
-1.473863,3.360463,-1.000000
-0.092477,5.039752,10.000000
-0.870924,3.844460,-1.000000
-2.652888,2.609033,0.000000
-2.714198,3.154468,12.000000
-2.598412,2.751918,0.000000
-1.757789,3.945055,-1.000000
2.798900,5.480026,9.000000
4.347610,8.549976,-1.000000
-2.649910,3.168164,12.000000
3.834288,8.440951,2.000000
1.458914,5.173486,3.000000
5.318434,8.817021,8.000000
2.635878,6.774336,6.000000
-1.830886,3.349357,-1.000000
4.491062,5.685806,7.000000
3.612582,7.449313,2.000000
1.792507,5.189413,3.000000
1.882777,5.486576,-1.000000
4.712734,7.570513,-1.000000
2.979388,5.454754,-1.000000
5.824976,9.265626,-1.000000
5.175376,8.676716,8.000000
4.826518,8.448895,-1.000000
-1.511006,3.371583,-1.000000
-2.198271,3.304221,-1.000000
-1.177464,3.708019,-1.000000
3.882394,7.850010,2.000000
5.498830,10.289074,1.000000
0.471032,4.861332,-1.000000
-2.696416,2.783810,0.000000
5.639052,10.384948,1.000000
3.849644,7.470652,2.000000
4.523458,5.704372,7.000000
1.581148,5.161656,3.000000
5.571460,10.432804,1.000000
1.832130,5.199212,-1.000000
3.686961,5.764489,-1.000000
5.430004,10.398804,1.000000
0.562377,5.013459,-1.000000
-2.177513,3.125832,-1.000000
3.418931,6.321714,-1.000000
-0.656251,3.891651,-1.000000
-2.467805,3.457847,12.000000
-0.391090,4.106688,16.000000
-2.663557,2.611270,0.000000
4.871337,9.174584,-1.000000
-2.546726,2.656944,0.000000
2.636220,5.235873,9.000000
-2.620279,2.607563,0.000000
4.533679,8.401752,-1.000000
4.863643,9.043652,-1.000000
0.460947,4.969805,-1.000000
2.628037,5.259809,9.000000
-1.426292,3.462922,-1.000000
-2.542436,3.018174,-1.000000
-2.374518,2.897900,14.000000
-0.975129,4.258801,11.000000
4.022047,7.516032,-1.000000
-0.739772,4.257830,-1.000000
4.534947,9.129173,-1.000000
3.882340,7.020627,4.000000
3.807833,6.298204,17.000000
-1.952489,3.118007,-1.000000
-1.251896,4.206967,11.000000
2.890652,6.559074,-1.000000
-2.627778,2.656740,0.000000
3.811244,6.338330,17.000000
-1.618580,3.994811,11.000000
-2.020275,3.315723,-1.000000
2.705976,6.584768,6.000000
4.253999,7.613204,-1.000000
-1.808100,3.602261,-1.000000
-2.233912,2.993007,-1.000000
4.232024,8.301037,2.000000
