matched_query,Unnamed: 0,hash,failure_invariant
block.timestamp > deadline,3915,0xece05d90692bac2f210cebd9c04e96633d7b3405635cd2676dd629ee94f296d3,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,3948,0x8d0773abcc00e5433f361fbad061e562daf8ecca2294427ebc133e93a9285687,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,4045,0x9e0acc0ba3575e03853b78cb14fa49e5bd3b292ecd513fa6b89dac7f26798fc7,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,4046,0x9605d26fde66695ec55d7a74b32136083ebd753ffc5c773ef88911dcd7b7a136,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,4049,0xddda6a7e4427b37efe3471f070d290f19a648e8e309f424d771c904c4f510b0b,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,4071,0x7deef8b6402f25d928d16ccd7be9c2c52610ca8aa8060b59577568d9bc279c8b,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,4076,0x5c43c743a1e59a2338607a20ba6503ce37aaf6eb7b46755e08435dd895653247,if (block.timestamp > deadline) revert SignatureExpired(deadline);
block.timestamp > deadline,4103,0x7df3ef41f5ed068326e0daab3de0d8b98735eda4d7333768dcaeff159d5f9fa6,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,4216,0x92b1e6dfea9228f9a6034a6a5de14a6602726268bf6ae6b23400afc906779370,"contract UniversalRouter is RouterImmutables, IUniversalRouter, Dispatcher, RewardsCollector { modifier checkDeadline(uint256 deadline) { if (block.timestamp > deadline) revert TransactionDeadlinePassed();"
block.timestamp > deadline,4688,0x56368641f31c7f9ef7266a436d0f295923854de35b462f906b2765877c8b102c,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,4988,0x2c428edc8c44f9e84568c71db734ee19eac9a4ed536de82484a4ecdfef66c2ea,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,5093,0x720dc844e8a16b20e1476a6a7da5489d000a859aced4f35af227a5e4c4988b74,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
block.timestamp > deadline,5131,0xb15d419fc26e09aca41f5b621db245a3fb615e6fc45278f8d58a8837438f12f4,if (block.timestamp > deadline) revert TransactionDeadlinePassed();
